Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Manjhi: The Mountain Man,21-08-2015,Hindi,Nawazuddin Siddiqui,Radhika Apte,Sandesh Shandilya,"After his wife passes away trying to cross a mountain, Manjhi, out of sheer rage, sets on a quest to carve a road through the treacherous mountain.",7.4,1.1512
Kis Kisko Pyaar Karoon,25-09-2015,Hindi,Kapil Sharma,Elli Avram,Dr. Zeus,"A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend.",5.8,0.889
Welcome Back,04-09-2015,Hindi,John Abraham,Shruti Haasan,Meet Bros Anjjan,"A pair of reformed gangsters try to find a husband for their newly discovered sister, but complications arise due to mistaken identities.",5,1.0085
Bangistan,07-08-2015,Hindi,Ritesh Deshmukh,Marta Żmuda-Trzebiatowska,Ram Sampath,"Two blundering terrorists with lofty ideologies, but ordinary talent, on a mission to change the world.",5.9,1.1585
NH10,12-03-2015,Hindi,Neil Bhoopalam,Anushka Sharma,Ayush Shrestha,"Meera and Arjun are professionals living in Gurgaon. On their way to a luxurious desert holiday they stop on a Highway dhaba for dinner, where they witness a young girl being picked up by a bunch of hoodlums. Arjun chooses to step in, unmindful of the danger ahead.",6.8,1.0002
Roy,11-02-2015,Hindi,Arjun Rampal,Jacqueline Fernandez,Amaal Mallik,"A love triangle revolving around the lives of a filmmaker, a thief and their mutual love interest.",4.8,1.17
Pyaar Ka Punchnama 2,16-10-2015,Hindi,Kartik Aaryan,Nushrratt Bharuccha,Sharib Sabri,"After falling in love, three roommates experience changes in their lives.",6.5,0.8869
Tevar,09-01-2015,Hindi,Arjun Kapoor,Sonakshi Sinha,Sajid Ali Khan,A Kabaddi player rescues a young woman from an unwanted marriage and hides her in his home.,5.1,1.3427
Hawaizaada,29-01-2015,Hindi,Ayushmann Khurrana,Pallavi Sharda,Rochak Kohli,"In 1895, Shivkar Bapuji Talpade constructs and flies India's first unmanned plane, despite having the odds stacked against him.",5.5,0.9758
All Is Well,21-08-2015,Hindi,Rishi Kapoor,Asin Thottumkal,Himesh Reshammiya,"A road trip, undertaken by Rishi Kapoor and Abhishek Bachchan, is later joined by their mother.",5.6,0.8937
Calendar Girls,25-09-2015,Hindi,Shishir Sharma,Akanksha Puri,Amaal Mallik,"The film focuses on five girls who hail from different regions of India, and who have been selected to pose for the country's most prestigious annual calendar which is a joint effort between business tycoon Rishabh Kukreja and his photographer friend Timmy Sen.",5,0.6619
My Genie Uncle,05-06-2015,Hindi,Tiku Talsania,Navina Bole,Dlima Nyzel,"A 3D Movie in which a young man discovers a genie (Tiku Talsania) who helps him face his fears and find his confidence. Along the way, they face off against a goofy terrorist and visit Santa at the North Pole. A laugh-riot with a subtle message of love and compassion.",0,0.5087
I Love NY,10-07-2015,Hindi,Sunny Deol,Kangana Ranaut,Pritam Chakraborty,"Two strangers meet in Manhattan on New Year's Eve, and both of their lives are forever transformed in this romantic Bollywood drama. Even as they try to preserve their current relationships, neither can resist falling head over heels for the other.",4.5,0.598
Mr. X,17-04-2015,Hindi,Emraan Hashmi,Amyra Dastur,Jeet Gannguli,"After an explosion at a chemical factory gives him the power of invisibility, a former officer of the law becomes a vigilante in order to take revenge on those who have wronged him.",5.2,0.8265
Dhanak,02-02-2015,Hindi,Vipin Sharma,Hetal Gada,Tapas Relia,Orphaned siblings Pari and Chotu embark on a journey to restore Chotu's eyesight.,7.4,0.9325
