Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Bachi,09-11-2000,Telugu,Jagapati Babu,,Chakri,"A police officer in the special branch, Bhaskar Chenmai, alias Bachi (Jagapathi Babu) one day receives a boy Habibi (Master Teja) from a courier from Dubai. Claiming that his mother had told him that Jagapati Babu is his father, the boy starts addressing him as father. The uncomfortable Bachi tries various methods to get rid of the boy, but his ways serve only to get him drawn towards the boy and become friends ultimately. Meanwhile, Bachi is the chief security officer for Tatineni Koteswara Rao (Prakash Raj), the Rs 50-crore winner of the Paris lottery. But Bachi's search for the boy continues and he manages to nail the father by his name, Bachi (Pruthvi Raj) and arrests him. But is he the real villain of the piece?",0,0.2419
Dollar Dreams,02-01-2000,Telugu,Anish Kuruvilla,Satya Krishnan,,Six young people struggle with the choice between moving to the US or staying in India.,6.5,0.1882
Chala Bagundi,18-02-2000,Telugu,Srikanth,,,"Vamsi is adopted after he saves Krishna's father from an accident. However, things turn bitter when he molests a lady a few years before she marries his stepbrother.",4,0.1345
Ravanna,03-03-2000,Telugu,Dr. Rajasekhar,Soundarya,S A Rajkumar,"Ravanna, a wayward youth, is misguided and used by the local MLA to threaten those who oppose him. Things start to change and he goes through a behavioural shift after falling in love with Sirisha.",0,0.2085
Ammo! Okato Tareekhu,20-10-2000,Telugu,L. B. Sriram,Raasi,Vandemataram Srinivas,A middle class man fights with various financial troubles due to overpopulated family resolves them by resolving family conflicts.,8.5,0.1636
Kouravudu,28-07-2000,Telugu,Nagendra Babu,Ramya Krishnan,,Kouravudu is a 2000 Telugu movie starring Nagendra Babu and Ramya Krishnan.,0,0.084
Murari,17-02-2001,Telugu,Mahesh Babu,Sonali Bendre,Mani Sharma,"Circa 1800s, an intoxicated Jamindar insults Durga Devi by stealing her temple idol. Enraged, Devi kills him and places a curse on his heirs that, every 48 years, she will take one family member. And every 48 years, a male heir meets an unfortunate, accidental end. Come present day (the end of another 48 years), it's Murari's turn.",6.4,3.4498
Khushi,26-04-2001,Telugu,Pawan Kalyan,Bhumika Chawla,Mani Sharma,"College friends Siddhu and Madhumati part ways due to a misunderstanding. Although they are in love and realize they cannot live without each other, their egos prevent them from uniting.",5.5,2.1234
Subbu,21-12-2001,Telugu,N.T. Rama Rao Jr.,Sonali Joshi,Mani Sharma,"Subbu, a college student, falls in love with the affluent Neeraja. However, things take a turn when he realises that Neeraja's father was responsible for the death of his entire family.",3.5,1.174
Sri Manjunatha,22-06-2001,Telugu,Arjun Sarja,Soundarya,Hamsalekha,"Manjunatha, an atheist, fights against social evils. He marries Kathyayini, a staunch devotee of Lord Shiva. As the days go by, Manjunatha realizes the existence of God.",6.3,1.0115
Student No. 1,27-09-2001,Telugu,N.T. Rama Rao Jr.,Gajala,M.M. Keeravaani,"At his father's request, Aditya attends a law college in the coastal metropolis of Visakhapatnam, although he actually wanted to become an engineer. On the first day he meets the beautiful Anjali. Over time, the female student slowly begins to become interested in the strange newcomer, who acts nice and friendly but doesn't seem to be interested in anything else. The college is notorious for its disobediently and disorderly students. It's not the professors who are in charge on campus, but rather the student leader Satya. He is also in love with Anjali and sees Aditya as a competitor who needs to be put in his place. So Aditya faces multiple problems as he tries to reform the unruly students while dealing with his terrible past that everyone doesn't know about.",5.5,0.9746
Nuvvu Naaku Nachav,06-09-2001,Telugu,Venkatesh,Aarthi Agarwal,Saluri Koteswara Rao,"Venky and Nandini's relationship changes from mere friendship to something that is more romantic. However, love only blossoms between the two after Nandini's marriage is fixed elsewhere.",7.2,0.9478
Mrugaraju,11-01-2001,Telugu,Chiranjeevi,Simran,Mani Sharma,"Mrugaraju is a 2001 Tollywood film which was written and directed by Gunasekhar based on English film The Ghost and the Darkness. It stars Chiranjeevi, Simran, Sanghavi and Nagendra Babu. Mani Sharma composed music for this film. The film has been dubbed in Tamil with the title Vettaikkaaran.The Hindi version of this is available named ""Rakshak, The Protector"".In a jungle, there lives a man-eating lion. The latest victim of lions havoc is the death of the chief engineer who is constructing the rail bridge. The Railway department asks Aishwarya (Simran) to go on the mission of constructing the bridge. Even after Aishwarya resumes the duty, Lion starts terrorizing the crew of the construction team.",5.3,0.6715
Manasantha Nuvve,19-10-2001,Telugu,Uday Kiran,Reema Sen,,"Anu (Baby Zeeba) and Chanti (Master Anand Vardhan) are childhood friends at Araku Valley. Anu is a daughter of a wealthy government official and Chanti is the son of a poor widow. Anu leaves Chanti at the age of 8 when her parents shift to Vizag. Later on Chanti loses his mother. Mohan Rao (Chandra Mohan) gets hold of Chanti renames him as Venu and adapts him. Anu (Reema Sen) and Venu (Uday Kiran) grows up at their respective places. Anu finishes her higher studies in Malaysia and returns. Venu does also single-mindedly waits for Anu. Anu starts writing a serial named 'Manasanta Nuvve', which contains her live story, in Swaty magazine hoping that Chanti would read it comes back to her. But she keeps her pen name as Renu, so that her anonymity could be protected (in the serial the heroine's name is Anu and hero's name is Chanti).",7.5,0.738
Narasimha Naidu,11-01-2001,Telugu,Nandamuri Balakrishna,Simran,Mani Sharma,"Narasimha (Balakrishna) is an unassuming dance teacher raising a young child on his own. His true identity, and the story of his violent past, begin to unravel as former enemies interrupt his quiet new life.",7,0.5238
Sampangi,13-07-2001,Telugu,Arjan Bajwa,Sana,Ghantadi Krishna,Two innocent lovers must unwillingly sacrifice their love as their families belong to two different castes and religions.,0,0.4368
Ammayi Kosam,18-05-2001,Telugu,Ravi Teja,Meena,Vandemataram Srinivas,"Ravi, Venkat, Balu and Venu, four unemployed graduates, waste their time in doing unconstructive things. However, their lives change when they meet Anjali, a photographer.",9,0.4796
Akasa Veedhilo,23-08-2001,Telugu,Nagarjuna Akkineni,Raveena Tandon,M.M. Keeravaani,"Suri and Padma give away one of their twin sons to Chandu and Indu, a couple who are unable to conceive a child. Complications arise in their lives when one of the boys is diagnosed with bone cancer.",7,0.4446
Simharasi,06-07-2001,Telugu,Dr. Rajasekhar,Sakshi Shivananda,S A Rajkumar,A charitable man respects all women and does not tolerate injustice. He brings his struggling stepsister home to live in comfort after their father commits suicide.,0,0.3999
Ammo Bomma,04-05-2001,Telugu,Rajendra Prasad,,,"Ram Babu, a mimicry artist, likes to collect different kinds of dolls. But he gets shocked when his new doll is possessed by a ghost.",0,0.3987
Hanuman Junction,21-12-2001,Telugu,Arjun Sarja,Sneha,Suresh Peters,"Two friends, Krishna and Das, run a company in a small town with their loved sister Devi. However, Devaraj, an influential man in the village, is against them and vows to destroy their growth.",6.8,0.4535
Anandam,28-09-2001,Telugu,Chandramohan,Rekha Vedavyas,Devi Sri Prasad,"Two neighbors study in the same college, but hate each other immensely. A series of events changes their feelings when they unknowingly write to each other under alias names.",8.25,0.4567
Daddy,03-10-2001,Telugu,Chiranjeevi,Simran,S A Rajkumar,An audio company and dance school owner is a very rich man but also gullible. He gets married to the girl he loves; but loses all his money to his scheming friends. They lose their daughter to a heart disease following which his wife leaves him.,6.2,0.4972
Devi Putrudu,14-01-2001,Telugu,Venkatesh,Soundarya,Mani Sharma,"An archaeologist extracts a box from the sea which contains mystical powers. However, evil people are in pursuit of the box and create trouble for the former.",5.2,0.4853
Bhalevadivi Basu,15-06-2001,Telugu,Nandamuri Balakrishna,Shilpa Shetty Kundra,Mani Sharma,"Bale Vadivi Basu is a 2001 Telugu film directed by Arun Prasad P A. The film stars Balakrishna, Shilpa Shetty, Anjala Zaveri and Prakash Raj in lead roles.",3,0.4198
Chiranjeevulu,21-09-2001,Telugu,Ravi Teja,Sanghavi,,"While running away from the police, Charan, Giri, Chanti and Kiran reach a village where they face many problems. They get embroiled in a fight against Satyamurthy, a cruel village head.",0,0.347
Bava Nachadu,07-06-2001,Telugu,Nagarjuna Akkineni,Simran,,"Ajay (Akkineni Nagarjuna) is an adman (director and actor) who has a definite idea about how his future wife should be like. He gets married to a village belle Kamakshi (Simran Bagga), handpicked by his mom from her native town Kovvuru. After marriage, Kamakshi meets with a hairline fracture. The entire family of Kamakshi lands up at Ajay's house to take care of Kamakshi. She has a beautiful and greedy sister called Lahari (Reema Sen).",0,0.2054
Premato Raa,09-05-2001,Telugu,Venkatesh,Simran,Mani Sharma,"Premato Raa is romantic based movie in which, Chandu (Venky) and Vijay (Suresh) are brothers. They belong to a wealthy family where the elder brother Vijay is responsible and take care of the business. The younger one Chandu is a spoilt brat and a womanizer.Vijay is in love with Sandhya (Prema). Chandu happens to visit Ooty and gets bowled by a damsel Geeta (Simran). But he comes to know that Geeta is a tough nut to crack. So he plays different tricks to attract her. One fine day he expresses his love to her and duly deflowers her. Right the next day he takes train to Hyderabad without informing Geeta and attends the marriage of his brother Vijay and Sandhya. At the time of marriage Sandhya enters the scene with Geeta claiming that Geeta is the younger sister of her and Geeta was used by Chandu to satisfy his lust. Sandhya breaks the marriage with Vijay. rest of the story is about how Chandu change his behaviour and makes his brother Vijay",4,0.3156
Priyamaina Neeku,11-02-2001,Telugu,Tarun,Sneha,,"Sandhya, who loves Ganesh, pours her thoughts about him in a diary. Ganesh finds the diary and falls in love with her but later discovers that she is already engaged to someone else.",6.5,0.406
Family Circus,01-06-2001,Telugu,Jagapati Babu,Roja Selvamani,R. P. Patnaik,Subramanyam and his family try averting several problems that come their way when they move into a new house in a locality filled with bizarre individuals.,7,0.4454
Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi,02-02-2001,Telugu,Srikanth,Raasi,,"Maa Avida Meedottu Mee Avida Chala Manchidi is a 2003 Indian Telugu film, directed by E. V. V. Satyanarayana and produced by P. Sai Baba. The film stars Srikanth, Naveen and Rasi in lead roles.The film had musical score by Srinivasa Murthy.",0,0.2865
Tholi Valapu,21-12-2001,Telugu,Gopichand,Sneha,Vandemataram Srinivas,"A man leaves his bike at a stranger's house after its tire gets punctured. He comes back to collect it the next day, but the stranger's family denies having any knowledge of it; soon after, the theft of his bike turns into an allegation of rape.",0,0.2947
Itlu Sravani Subramanyam,14-09-2001,Telugu,Ravi Teja,Annapoorna,Chakri,Two strangers meet at a suicide point and help each other die. But they are saved and go their separate ways. Both are set to get married but they flee from their respective homes at the last moment.,5.5,0.1689
Cheppalani Vundhi,23-08-2001,Telugu,Prakash Raj,Raasi,,"In an attempt to avoid getting married to Priyanka, Vinay uses a photograph of a deceased woman and claims that she is his ex-lover. However, the woman surprisingly turns up at Vinay's house",0,0.2564
Budget Padmanabham,09-03-2001,Telugu,Jagapati Babu,Ramya Krishnan,,"Padmanabham, a miser, spends his money carefully. He is put into a dilemma when unwelcome guests knock at his door and his wife gives birth to triplets.",7,0.3031
Raa,01-11-2001,Telugu,Upendra,Priyanka Upendra,Gurukiran,"Sridhar, a womaniser, meets his match when he tries to seduce Shanthi, who refuses to fall for him. Later, he learns that Shanthi has a hidden motive for resisting his advances.",0,0.2049
Nuvvu Nenu,10-08-2001,Telugu,Uday Kiran,Telangana Sakuntala,R. P. Patnaik,"Ravi (Uday Kiran) is the son of a multimillionaire in Hyderabad. Vasundhara (Anita), is the daughter of a milk supplier. Ravi and Vasundhara both study in the same college. The film starts with Vasundhara showing hatred towards Ravi, as he is a sportsman who is not good in his studies. Over a period of time, her hatred turns into love. Finally, they both fall in love, but their parents do not agree with their marriage. Parents plan to avoid the marriage by giving the couple a clause that they should not meet each other for one year. If their love remains even after one year then their parents would agree to let them marry.  Father of Ravi puts him under house arrest in Mumbai. While Vasundhara's father takes her to his hometown and arranges a forced marriage. However, both Ravi and Vasundhara manage to escape. The rest of the story is about how the pair unites against all odds.",5,0.3407
Eduruleni Manishi,30-03-2001,Telugu,Nagarjuna Akkineni,Soundarya,,"Surya Murthy lives a very wealthy lifestyle in India along with his parents, his niece, and a younger look-alike brother, Satya. His parents would like him to get married, but he refuses until Satya, who himself is anxious to get married to his girlfriend, selects a bride named Vasundhara. Events prove that Vasundhara is indeed the ideal bride for Surya, and both get married",6,0.2967
Naalo Unna Prema,01-09-2001,Telugu,Jagapati Babu,Laya,Saluri Koteswara Rao,A young man from Hyderabad is a fan of a professional singer from Vizag. The singer's younger sister plays a practical joke with him by replying to his fan letters as the singer herself; over a period of time she falls in love with him.,0,0.312
Ninnu Choodalani,23-05-2001,Telugu,N.T. Rama Rao Jr.,Raveena Rajput,S A Rajkumar,"Two businessmen, Siva Reddy and Sahadeva Reddy, are sworn enemies. Things take a turn when their grandchildren, Venu and Siri, fall in love with each other.",6,0.3592
Snehamante Idera,26-10-2001,Telugu,Nagarjuna Akkineni,Bhumika Chawla,,"Aravind's parents have raised orphans Chandru and Krishna as their own and the three are great friends. Chandru loves Amrita, Aravind's sister, but is hesitant. Aravind's love life too is troubled.",5,0.1781
