Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Shikaar,19-07-2000,Hindi,Abhishek Kapoor,Ayesha Jhulka,,"Sree Nath falls in love with a poor woman and both get intimate, resulting in her getting pregnant. When the time comes for Sree to marry her, he renounces her and instead marries the daughter of wealthy Mr. Saxena. She gives birth to a boy, Vikram, and shortly thereafter passes away. Sree's step-brothers, Badri and Kedar, move in with Sree, and soon his health starts to deteriorate. They hire a nurse to look after him, but he keeps on getting worse.",4,0.3208
Daku Ganga Jamuna,15-09-2000,Hindi,Dinesh Hingoo,Sapna Sappu,Priyesh Vakil,Bhura and Jwala are arch rivals vying for each others blood. In a fierce altercation Bhura kills Jwala. Jwala's daughter Jamuna swears to take vengeance and kill Bhura and his daughter Ganga.  Will Jamuna keep her promise and end the lives of Bhura and Ganga? Or will Bhura and his daughter Ganga manage to maintain their supremacy by eliminating Jamuna?,4,0.2463
Raja Ko Rani Se Pyar Ho Gaya,22-12-2000,Hindi,Arvind Swamy,Manisha Koirala,Jatin Pandit,"Mohit, a young man raised into beliving in fairy tales, comes to Bombay to find Manisha, a young woman whom he saved from drowning in a lake near his village, whom he belives to be an actual mermaid princess.",0,0.2664
Hum To Mohabbat Karega,26-05-2000,Hindi,Bobby Deol,Karisma Kapoor,,"A man lies about being an eyewitness to a murder in order to spend time with a beautiful female reporter. Only now, he's wanted by those responsible for the killing.",3.5,0.4466
Sultaan,02-02-2000,Hindi,Mithun Chakraborty,,,"Kabira helps Ayesha in saving her garage from local goons. However, he hides the fact that he was an honest inspector sometime ago. Ayesha decides to find out the reason for his transformation.",10,0.3074
Bawandar,17-11-2000,Hindi,Raghubir Yadav,Nandita Das,,"Shoba T. Mathur works for the Central Government in India and her job is to create awareness against child-marriage and other social evils that prevail due to general misinterpretation of the Hindu Shastras that demean women, particularly in Dhabri, a village in the state of Rajasthan. She does succeed in recruiting a young housewife, Saanvri, the mother of a young girl, Kamli, and wife of rickshaw driver, Sohan. Saanvri goes around the village raising awareness, and incurs the wrath of the village elders, mostly members of the Gujjar family.",6,0.3457
Kaali Topi Lal Rumaal,15-09-2000,Hindi,Mithun Chakraborty,Rituparna Sengupta,,"Commando Vijay arrests a terrorist, Master DD. However, he realises that Master DD is just a pawn and tries to find the real culprit.",0,0.3153
Fursat Mein,14-01-2000,Hindi,Irrfan Khan,,,"Irrfan plays an eccentric senior citizen who goes out of his way to protect whoever he feels is being oppressed. His tactics include using fake visiting cards to intimidate people, much to the chagrin of his daughter.",0,0.2207
Mere Aagosh Mein,01-01-2000,Hindi,Shakti Kapoor,,,"A woman who dumps her boyfriend for a rich, older man regrets that choice when her ex takes up with her new stepdaughter.",2,0.2205
Tera Jadoo Chal Gayaa,18-08-2000,Hindi,Abhishek Bachchan,Keerthi Reddy,,"When ad agency executive Pooja (Kirti Reddy) attends a wedding and meets lovable but broke Kabir (Abhishek Bachchan), it's love at first sight -- but only for Kabir. Pooja heads back to her fast-track life and gets in dutch with the head honcho for prolonging her vacation. To save her job, a co-worker explains Pooja's delay with a phony story about her engagement to Kabir, and all's well till she meets her dream man: the boss' son (Sanjay Suri).",4,0.405
