Title,Release Date,Language,Vote Average,Popularity
Ponniyin Selvan,16-08-2005,Tamil,1,0.2073
Vetrivel Sakthivel,09-12-2005,Tamil,0,0.2676
Kasthuri Maan,28-10-2005,Tamil,0,0.2217
Mannin Maindhan,04-03-2005,Tamil,7,0.2064
Sukran,07-05-2005,Tamil,1,0.2085
Aanai,05-05-2005,Tamil,4.5,0.2407
Thaka Thimi Tha,31-03-2005,Tamil,7.5,0.2578
Thotti Jaya,09-05-2005,Tamil,5.5,0.207
Raam,04-03-2005,Tamil,7.7,0.1654
Karka Kasadara,06-05-2005,Tamil,1,0.199
Kana Kanden,13-05-2005,Tamil,6.2,0.2578
Chinna,05-05-2005,Tamil,2.5,0.2536
London,31-01-2005,Tamil,7,0.1813
Ullam Ketkumae,03-06-2005,Tamil,7.2,0.2359
Englishkaran,01-01-2005,Tamil,4,0.1251
Thavamai Thavamiruntu,31-10-2005,Tamil,6.7,0.143
Chidambarathil Oru Appasamy,24-08-2005,Tamil,0,0.1609
6'2,12-05-2005,Tamil,6,0.1279
Power of Women,27-05-2005,Tamil,0,0.1504
Bambara Kannaley,18-11-2005,Tamil,3.667,0.1862
Feb-14,01-07-2005,Tamil,0,0.094
Chanakya,26-09-2005,Tamil,4.833,0.105
Rightaa Thappaa,25-03-2005,Tamil,0,0.1176
Girivalam,20-05-2005,Tamil,0,0.0732
Kaatrulla Varai,31-03-2005,Tamil,0,0.0813
Kicha Vayasu 16,24-03-2005,Tamil,0,0.0952
Andha Naal Nyabagam,19-08-2005,Tamil,0,0.065
Kettavarellam Padalam,15-08-2005,Tamil,0,0.0389
She Write,01-01-2005,Tamil,0,0.0571
Ambuttu Imbuttu Embuttu,01-11-2005,Tamil,0,0.0474
The Gravel Road,13-01-2005,Tamil,0,0.0398
Veeranna,01-01-2005,Tamil,0,0.0552
Dancer,12-01-2005,Tamil,0,0.0368
Pillayar Pettaiyum Kandhu Vattiyum,01-01-2005,Tamil,0,0.0143
Uyir the Soul,01-01-2005,Tamil,0,0
Saravana,01-02-2006,Tamil,4.75,3.314
Pattiyal,17-02-2006,Tamil,7.4,0.6484
Thimiru,04-08-2006,Tamil,5.571,0.5485
Aathi,15-01-2006,Tamil,5,0.5084
Vettaiyaadu Vilaiyaadu,25-08-2006,Tamil,7.125,0.5567
Kedi,24-09-2006,Tamil,3.2,0.5
Pudhupettai,26-05-2006,Tamil,7.8,0.4484
Thambi,22-02-2006,Tamil,6.2,0.3645
Rendu,24-11-2006,Tamil,3.667,0.347
Nenjirukkum Varai,15-12-2006,Tamil,0,0.3451
Sillunu Oru Kaadhal,08-09-2006,Tamil,6.9,0.4843
Sivappathigaram,24-11-2006,Tamil,4.7,0.2805
Paramasivan,14-01-2006,Tamil,4.5,0.2985
Jambhavan,01-09-2006,Tamil,4,0.4064
Dharmapuri,21-10-2006,Tamil,5.5,0.268
Imsai Arasan 23am Pulikesi,08-07-2006,Tamil,7.6,0.4188
Varalaru,20-10-2006,Tamil,6.2,0.3913
Suyetchai MLA,05-05-2006,Tamil,0,0.4844
Something Something… Unakkum Enakkum,18-06-2006,Tamil,6.2,0.3586
Vallavan,21-10-2006,Tamil,5.167,0.3778
Idhaya Thirudan,03-02-2006,Tamil,2.5,0.2223
Perarasu,14-09-2006,Tamil,5.2,0.1967
Sasanam,28-07-2006,Tamil,0,0.2165
