Title,Release Date,Language,Hero,Heroine
Kushi Kushiga,16-04-2004,Telugu,Jagapati Babu,Ramya Krishnan
Intlo Srimathi Veedhilo Kumari,01-01-2004,Telugu,Prabhu Deva,Aarti Chabria
Grahanam,12-10-2004,Telugu,Surya Bhagawan Das,Jayalalita
Swetha Naagu,20-02-2004,Telugu,Abbas,Soundarya
Suryam,02-12-2004,Telugu,Vishnu Manchu,Celina Jaitly
Sorry Naku Pellaindi,04-03-2004,Telugu,Srinivasa Reddy,Lakshmi Sharma
Shatruvu,08-10-2004,Telugu,Ali Basha,Meghna Naidu
Chanti,12-11-2004,Telugu,Ravi Teja,Charmy Kaur
Jai,24-03-2004,Telugu,Navdeep,Santhoshi
Leelamahal Centre,04-12-2004,Telugu,Aryan Rajesh,Sadha
IPS Jhansi,15-07-2004,Telugu,Sijju Menon,Vijayashanti
Maa Ilavelpu,01-01-2004,Telugu,,
Athadu,10-08-2005,Telugu,Mahesh Babu,Trisha Krishnan
Chatrapathi,30-09-2005,Telugu,Prabhas,Bhanupriya
Bunny,06-04-2005,Telugu,Allu Arjun,Sudha
Meenakshi,18-11-2005,Telugu,Rajiv Kanakala,Kamalinee Mukherjee
Nuvvostanante Nenoddantana,14-01-2005,Telugu,Siddharth,Trisha Krishnan
Bhadra,12-05-2005,Telugu,Ravi Teja,Meera Jasmine
Andagadu,01-04-2005,Telugu,Rajendra Prasad,
Andarivaadu,04-06-2005,Telugu,Chiranjeevi,Rimi Sen
Chakram,25-03-2005,Telugu,Prabhas,Asin Thottumkal
Vennela,26-11-2005,Telugu,Sharwanand,Parvati Melton
Sankranthi,17-02-2005,Telugu,Venkatesh,Sneha
Balu,06-01-2005,Telugu,Pawan Kalyan,Shriya Saran
Danger,29-10-2005,Telugu,Sairam Shankar,Swathi Reddy
Super,20-07-2005,Telugu,Nagarjuna Akkineni,Ayesha Takia
Naa Alludu,14-01-2005,Telugu,N.T. Rama Rao Jr.,Shriya Saran
Narasimhudu,20-05-2005,Telugu,N.T. Rama Rao Jr.,Sameera Reddy
Radha Gopalam,23-02-2005,Telugu,Srikanth,Sneha
Allari Bullodu,15-09-2005,Telugu,Nithiin,Trisha Krishnan
Anukokunda Oka Roju,30-06-2005,Telugu,Jagapati Babu,Charmy Kaur
