Title,Release Date,Language,Vote Average,Popularity
Road,27-09-2002,Hindi,4.7,0.3342
Ansh,02-04-2002,Hindi,7,0.259
Yeh Hai Jalwa,25-07-2002,Hindi,5.4,0.2587
Pyaar Diwana Hota Hai,06-05-2002,Hindi,5.8,0.3156
Humraaz,26-07-2002,Hindi,6.1,0.2012
Filhaal...,01-02-2002,Hindi,0,0.2921
Jaani Dushman: Ek Anokhi Kahani,16-08-2002,Hindi,4.2,0.2252
23rd March 1931: Shaheed,07-06-2002,Hindi,7.5,0.2382
Na Tum Jaano Na Hum,10-05-2002,Hindi,4.6,0.3857
Hum Tumhare Hain Sanam,24-05-2002,Hindi,5.519,0.4507
Tum Se Achcha Kaun Hai,26-04-2002,Hindi,7.3,0.3599
Haan Maine Bhi Pyaar Kiya,15-02-2002,Hindi,4.3,0.3117
Deewangee,25-10-2002,Hindi,6.4,0.2234
Badhaai Ho Badhaai,08-11-2002,Hindi,5.2,0.1995
Ab Ke Baras,10-05-2002,Hindi,4.4,0.343
Yeh Mohabbat Hai,08-02-2002,Hindi,0,0.2651
Shararat,12-07-2002,Hindi,7.7,0.2348
Maa Tujhhe Salaam,25-01-2002,Hindi,3,0.2026
Kyaa Dil Ne Kahaa,28-06-2002,Hindi,4,0.2356
Hathyar,18-10-2002,Hindi,4.5,0.3117
Marshal,13-09-2002,Hindi,10,0.1885
Akhiyon Se Goli Maare,02-08-2002,Hindi,5.6,0.3059
Gunaah,03-01-2002,Hindi,4.8,0.1704
Manjuben Truck Driver,01-01-2002,Hindi,0,0.1542
Nishad,01-09-2002,Hindi,0,0.2191
Karz,06-12-2002,Hindi,4.6,0.1937
Kya Yehi Pyaar Hai,10-04-2002,Hindi,5.6,0.2764
Mahal,31-12-2002,Hindi,0,0.1847
Jeena Sirf Merre Liye,20-11-2002,Hindi,4.4,0.2942
Zindagi Khoobsoorat Hai,04-10-2002,Hindi,10,0.148
Yeh Kya Ho Raha Hai,11-10-2002,Hindi,6,0.189
Bibhatsa,01-01-2002,Hindi,0,0.2108
The Wound,27-12-2002,Hindi,0,0.1247
Maseeha,01-01-2002,Hindi,4,0.1789
Duplicate Sholay,26-04-2002,Hindi,1,0.1191
Soch,23-08-2002,Hindi,0,0.1279
Kehtaa Hai Dil Baar Baar,15-11-2002,Hindi,6.3,0.1633
Khajuraho,11-01-2002,Hindi,0,0.1544
War and Peace,14-04-2002,Hindi,6.3,0.1147
Lal Salaam,03-05-2002,Hindi,0,0.118
Guru Mahaaguru,13-12-2002,Hindi,0,0.0952
Koi Mere Dil Se Poochhe,11-01-2002,Hindi,3.5,0.1356
Haathi Ka Anda,01-01-2002,Hindi,10,0.1172
Darwaza,27-09-2002,Hindi,0,0.1976
Alibaba,26-07-2002,Hindi,4.3,0.0859
Pyaasa,01-01-2002,Hindi,3,0.0704
Neel Parbat Ke Paar,07-03-2002,Hindi,10,0.1153
Sindoor Ki Saugandh,01-01-2002,Hindi,0,0.0782
The Little Republic,28-08-2002,Hindi,0,0.0699
Lovers Like Us,04-07-2002,Hindi,0,0.0659
Annarth,01-11-2002,Hindi,3,0.0658
Kaaboo,01-01-2002,Hindi,0,0.0718
Inth Ka Jawab Patthar,04-01-2002,Hindi,0,0.0711
Aakheer,25-01-2002,Hindi,0,0.0474
Hum Pyar Tumhi Se Kar Baithe,08-11-2002,Hindi,2,0.0474
Qaidi,03-05-2002,Hindi,0,0.1228
Aadamkhor Haseena,21-06-2002,Hindi,0,0.0474
Shaitan Mantrik,01-01-2002,Hindi,0,0.0363
Dhrupad in the Time of Liberalisation,01-01-2002,Hindi,0,0.0434
A Few Things I Know About Her,07-03-2002,Hindi,0,0.0338
Chalu Aunty,01-01-2002,Hindi,7.5,0.0214
Jari Mari: Of Cloth and Other Stories,27-01-2002,Hindi,0,0.0143
Badmaash No.1,01-01-2002,Hindi,0,0
The Great Target,01-01-2002,Hindi,0,0
Kal Ho Naa Ho,27-11-2003,Hindi,7.4,2.0253
Jhankaar Beats,20-06-2003,Hindi,5.6,0.8464
Chalte Chalte,12-06-2003,Hindi,6.3,1.1849
Koi... Mil Gaya,08-08-2003,Hindi,6.8,1.0472
Jism,17-01-2003,Hindi,4.5,1.277
Munna Bhai M.B.B.S.,19-12-2003,Hindi,7.2,0.921
Tere Naam,15-08-2003,Hindi,6.4,1.084
Baghban,03-10-2003,Hindi,6.8,0.6973
Khushi,07-02-2003,Hindi,5.4,0.7343
The Hero: Love Story of a Spy,10-04-2003,Hindi,6.3,0.5534
Mumbai Matinee,26-09-2003,Hindi,4,0.7708
A Thousand Desires Like These,22-12-2003,Hindi,7.2,0.7743
Hungama,01-08-2003,Hindi,6.766,0.8704
Main Prem Ki Diwani Hoon,26-06-2003,Hindi,5.2,0.7524
Maqbool,30-01-2003,Hindi,6.9,0.515
LOC: Kargil,12-12-2003,Hindi,5.7,0.5909
Andaaz,23-05-2003,Hindi,5.6,0.4686
Jaal: The Trap,18-07-2003,Hindi,5.8,0.4651
Haasil,15-05-2003,Hindi,7.1,0.5179
Gangaajal,29-08-2003,Hindi,6.4,0.4217
Bhoot,30-05-2003,Hindi,5.9,0.5198
Baaz: A Bird in Danger,07-02-2003,Hindi,4.7,0.3835
Kucch To Hai,24-01-2003,Hindi,4.2,0.3107
Tehzeeb,21-11-2003,Hindi,2,0.4524
Out of Control,21-11-2003,Hindi,7.8,0.3081
Sssshhh...,24-10-2003,Hindi,4.2,0.2464
Hawa,04-07-2003,Hindi,2.7,0.4323
Mumbai Se Aaya Mera Dost,22-08-2003,Hindi,3.2,0.3927
Chameli,31-12-2003,Hindi,5.9,0.3413
Dhund: The Fog,21-02-2003,Hindi,6,0.3661
Oops!,01-01-2003,Hindi,4.3,0.3005
Zameen,26-09-2003,Hindi,6.2,0.3333
Tujhe Meri Kasam,03-01-2003,Hindi,6,0.3908
Joggers Park,12-09-2003,Hindi,4,0.2745
Saaya,04-07-2003,Hindi,4.3,0.2731
Zinda Dil,12-12-2003,Hindi,0,0.2713
Love at Times Square,14-02-2003,Hindi,3,0.2823
Darna Mana Hai,25-06-2003,Hindi,5.9,0.3464
Supari,20-06-2003,Hindi,3,0.2966
Pinjar,22-10-2003,Hindi,7.6,0.3205
Khwahish,10-11-2003,Hindi,4.3,0.2219
Talaash: The Hunt Begins,03-01-2003,Hindi,5.1,0.3494
Parwana,12-09-2003,Hindi,6.7,0.3153
Armaan,16-05-2003,Hindi,5.2,0.2251
Ishq Vishk,05-05-2003,Hindi,5.9,0.3582
Ek Aur Ek Gyarah: By Hook or by Crook,06-08-2003,Hindi,5.9,0.2412
Xcuse Me,26-09-2003,Hindi,6.2,0.3027
Aapko Pehle Bhi Kahin Dekha Hai,10-01-2003,Hindi,5,0.2054
Fun2shh... Dudes in the 10th Century,19-12-2003,Hindi,3.8,0.2777
Jajantaram Mamantaram,30-05-2003,Hindi,5.5,2.2631
Footpath,15-08-2003,Hindi,5.3,0.3106
Dum,24-01-2003,Hindi,4.8,0.2661
Jungle Ki Nagin,01-01-2003,Hindi,0,0.1704
Stumped,16-05-2003,Hindi,0,0.2048
Dil Pardesi Ho Gayaa,01-09-2003,Hindi,7.2,0.4024
Humein Tumse Pyar Ho Gaya Chupke Chupke,30-06-2003,Hindi,0,0.1624
Dil Ka Rishta,17-01-2003,Hindi,6.5,0.385
Satta,07-02-2003,Hindi,4.5,0.2261
Market,12-09-2003,Hindi,4,0.2524
3 Deewarein,08-01-2003,Hindi,7.2,0.2667
Wrong Number,12-12-2003,Hindi,0,0.1775
Kuch Naa Kaho,26-08-2003,Hindi,5.6,0.2407
Chori Chori,01-08-2003,Hindi,5.6,0.175
Yeh Dil,17-06-2003,Hindi,2.5,0.1619
Pyaasa Haiwan,08-01-2003,Hindi,6.5,0.2294
Raja Bhaiya,24-10-2003,Hindi,6.5,0.2407
Kash Aap Hamare Hote,14-02-2003,Hindi,5,0.2031
Kagaar,03-10-2003,Hindi,6,0.2264
Aanch,26-09-2003,Hindi,8,0.1596
Main Madhuri Dixit Banna Chahti Hoon,07-10-2003,Hindi,5.4,0.214
Rules - Pyaar Ka Superhit Formula,05-09-2003,Hindi,4,0.1809
Banana Brothers,01-01-2003,Hindi,0,0.1618
Praan Jaye Par Shaan Na Jaye,01-05-2003,Hindi,7,0.2002
Bas Yun Hi,01-01-2003,Hindi,0,0.2348
Khanjar (The Knife),27-06-2003,Hindi,7.5,0.1529
"One Day, 24 Hours",01-01-2003,Hindi,0,0.1778
Woh Tera Naam Tha,01-12-2003,Hindi,8,0.1494
Ek Alag Mausam,01-01-2003,Hindi,0,0.1291
Paap,20-12-2003,Hindi,6,0.1611
Tantrik Shakti,17-01-2003,Hindi,0,0.1261
